data,Saldo da carteira de crédito,IPCA,Taxa de desocupação (PNADC),Endividamento das famílias(RNDBF) ,Inadimplência da carteira de crédito,Selic (M),PIB (M),Taxa média mensal de juros não rotativo,IBC-BR,Prazo médio das concessões de crédito
2012-03-01,953171,0.21,8.0,36.87,5.36,0.82,397757.8,2.53,102.7249,105.95
2012-04-01,964854,0.64,7.8,36.99,5.41,0.71,385882.7,2.49,98.1634,106.7
2012-05-01,980828,0.36,7.7,37.21,5.51,0.74,401863.7,2.36,101.46906,108.51
2012-06-01,994137,0.08,7.6,37.42,5.43,0.64,395379.2,2.31,99.86712,110.43
2012-07-01,1004184,0.43,7.5,37.54,5.42,0.68,409024.9,2.26,103.50475,111.51
2012-08-01,1022556,0.41,7.3,37.71,5.4,0.69,418752.4,2.2,105.22351,111.28
2012-09-01,1025645,0.57,7.1,37.49,5.41,0.54,402671.5,2.2,99.38978,112.33
2012-10-01,1041511,0.59,6.9,37.69,5.34,0.61,431399.9,2.15,103.67878,113.92
2012-11-01,1056237,0.6,6.8,37.88,5.21,0.55,426614.9,2.11,101.18496,115.75
2012-12-01,1076471,0.79,6.9,38.04,5.1,0.55,413696.7,2.03,97.92953,117.79
2013-01-01,1088275,0.86,7.2,38.17,5.03,0.6,408895.0,2.04,97.79203,119.63
2013-02-01,1094775,0.6,7.8,38.21,4.98,0.49,398087.4,2.08,95.55728,120.09
2013-03-01,1108015,0.47,8.0,38.1,4.94,0.55,434631.2,2.04,103.89144,121.76
2013-04-01,1124846,0.55,7.9,38.25,4.85,0.61,446508.1,2.03,105.14267,123.67
2013-05-01,1143984,0.37,7.6,38.38,4.88,0.6,441321.9,2.01,103.20168,125.49
2013-06-01,1160114,0.26,7.5,38.37,4.61,0.61,434750.0,2.02,101.69012,127.1
2013-07-01,1173994,0.03,7.4,38.54,4.56,0.72,452593.1,2.05,106.78052,128.42
2013-08-01,1190495,0.24,7.2,38.66,4.45,0.71,453785.4,2.06,106.55725,129.23
2013-09-01,1202447,0.35,7.0,38.46,4.44,0.71,447755.6,2.08,103.37075,130.17
2013-10-01,1212482,0.57,6.8,38.35,4.25,0.81,475721.2,2.12,106.62447,130.48
2013-11-01,1227984,0.54,6.5,38.37,4.15,0.72,470316.2,2.13,103.73673,132.05
2013-12-01,1249372,0.92,6.2,38.36,4.06,0.79,467253.8,2.09,102.32025,133.02
2014-01-01,1263128,0.55,6.5,38.36,4.03,0.85,453273.2,2.16,100.17574,134.73
2014-02-01,1270206,0.69,6.8,38.29,4.0,0.79,455504.9,2.22,100.7455,137.17
2014-03-01,1281603,0.92,7.2,38.18,4.05,0.77,477203.0,2.25,104.60637,137.11
2014-04-01,1294198,0.67,7.2,38.17,4.1,0.82,479729.8,2.22,103.66896,138.44
2014-05-01,1311184,0.46,7.0,38.34,4.16,0.87,481273.3,2.23,103.28285,145.24
2014-06-01,1324777,0.4,6.9,38.52,3.98,0.82,461318.7,2.24,98.88872,146.69
2014-07-01,1333060,0.01,7.0,38.61,4.05,0.95,486872.6,2.25,105.18194,147.8
2014-08-01,1348138,0.25,7.0,38.68,4.04,0.87,483777.6,2.25,104.07626,148.88
2014-09-01,1361005,0.57,6.8,38.78,3.94,0.91,491475.2,2.21,103.96964,150.41
2014-10-01,1378381,0.42,6.7,39.0,3.98,0.95,509080.7,2.26,105.08042,154.98
2014-11-01,1390556,0.51,6.6,39.01,3.84,0.84,498548.6,2.27,101.72268,155.63
2014-12-01,1416065,0.78,6.6,39.29,3.67,0.96,500895.3,2.21,102.11283,157.64
2015-01-01,1430120,1.24,6.9,39.64,3.75,0.94,474594.4,2.3,97.57559,159.47
2015-02-01,1433769,1.22,7.5,39.64,3.81,0.82,466974.4,2.36,96.03566,157.49
2015-03-01,1445141,1.32,8.0,39.74,3.67,1.04,515089.9,2.37,104.95136,159.63
2015-04-01,1453221,0.71,8.1,40.03,3.75,0.95,497132.7,2.42,99.98483,160.27
2015-05-01,1461804,0.74,8.2,40.05,3.86,0.99,492228.0,2.48,98.07707,160.05
2015-06-01,1469882,0.79,8.4,40.13,3.66,1.07,490609.1,2.52,97.18011,165.16
2015-07-01,1475360,0.62,8.6,40.42,3.78,1.18,507256.4,2.58,100.45061,161.38
2015-08-01,1486592,0.22,8.8,40.61,3.89,1.11,501235.4,2.62,98.77499,160.94
2015-09-01,1493068,0.54,9.0,40.84,3.95,1.11,499736.4,2.65,96.88102,161.67
2015-10-01,1496614,0.82,9.1,40.87,4.08,1.11,521336.3,2.71,98.36951,162.54
2015-11-01,1508221,1.01,9.1,40.6,4.2,1.06,514115.2,2.74,95.53429,164.35
2015-12-01,1518662,0.96,9.1,40.09,4.23,1.16,515478.8,2.68,95.6462,165.79
2016-01-01,1521900,1.27,9.6,40.06,4.3,1.06,482492.1,2.77,90.36573,165.83
2016-02-01,1522813,0.9,10.3,39.7,4.3,1.0,490153.2,2.81,91.9847,166.62
2016-03-01,1527590,0.43,11.0,39.55,4.25,1.16,527653.6,2.86,98.52442,167.11
2016-04-01,1526375,0.61,11.3,39.28,4.3,1.06,520758.1,2.91,95.37359,166.71
2016-05-01,1533354,0.78,11.3,39.22,4.32,1.11,516177.8,2.93,93.46913,167.48
2016-06-01,1536798,0.35,11.4,39.07,4.05,1.16,522114.3,2.91,94.76248,168.74
2016-07-01,1538189,0.52,11.7,38.88,4.1,1.11,522425.0,2.92,95.82234,169.89
2016-08-01,1546795,0.44,11.9,38.78,4.12,1.22,530524.8,2.93,96.78389,169.88
2016-09-01,1550208,0.08,11.9,38.53,4.18,1.11,524220.7,2.97,93.86177,170.69
2016-10-01,1547944,0.26,11.9,38.28,4.18,1.05,539844.4,2.98,93.2251,170.22
2016-11-01,1558281,0.18,12.0,38.31,4.09,1.04,545693.0,2.98,92.94573,170.8
2016-12-01,1569164,0.3,12.1,38.2,3.95,1.12,547271.1,2.92,93.77418,172.45
2017-01-01,1574530,0.38,12.7,38.05,3.98,1.09,514654.5,2.93,90.57212,171.74
2017-02-01,1575512,0.33,13.3,37.92,4.0,0.87,510341.2,2.89,90.92459,171.41
2017-03-01,1584667,0.25,13.9,37.83,4.01,1.05,560677.7,2.88,99.65404,171.27
2017-04-01,1586373,0.14,13.7,37.5,4.04,0.79,537469.2,2.71,93.7847,172.1
2017-05-01,1596592,0.31,13.4,37.42,4.1,0.93,550559.0,2.59,95.21417,172.37
2017-06-01,1604318,-0.23,13.1,37.37,3.85,0.81,542701.4,2.58,94.59089,173.52
2017-07-01,1609007,0.24,12.9,37.37,3.95,0.8,548645.0,2.62,97.01673,175.39
2017-08-01,1620808,0.19,12.7,37.41,3.93,0.8,555973.5,2.56,98.23322,173.8
2017-09-01,1624211,0.16,12.5,37.28,3.87,0.64,544016.8,2.44,94.54995,173.23
2017-10-01,1636329,0.42,12.3,37.34,3.87,0.64,568512.1,2.46,95.51114,173.09
2017-11-01,1650998,0.28,12.1,37.42,3.77,0.57,573829.1,2.42,94.88999,173.45
2017-12-01,1660162,0.44,11.9,37.27,3.53,0.54,578099.5,2.31,95.47495,173.08
2018-01-01,1670402,0.29,12.3,37.31,3.72,0.58,553163.9,2.33,92.89203,173.62
2018-02-01,1669009,0.32,12.7,37.29,3.7,0.47,539686.8,2.39,91.16386,173.26
2018-03-01,1678623,0.09,13.2,37.32,3.64,0.53,589232.3,2.37,99.29771,172.86
2018-04-01,1688992,0.22,13.0,37.55,3.62,0.52,587200.8,2.37,97.46384,172.84
2018-05-01,1698149,0.4,12.8,37.84,3.59,0.52,562327.7,2.27,92.76708,173.85
2018-06-01,1706124,1.26,12.6,37.94,3.47,0.52,584570.5,2.24,96.02845,173.33
2018-07-01,1713564,0.33,12.4,37.91,3.5,0.54,592564.7,2.21,98.91528,173.25
2018-08-01,1731984,-0.09,12.2,38.09,3.49,0.57,599105.0,2.2,100.53239,171.84
2018-09-01,1740771,0.48,12.0,38.11,3.41,0.47,576186.0,2.2,95.18505,172.94
2018-10-01,1759757,0.45,11.8,38.38,3.37,0.54,612151.5,2.21,98.20444,172.9
2018-11-01,1784716,-0.21,11.7,38.85,3.3,0.49,607597.4,2.21,96.70356,171.98
